cpu_uso,temperatura,memoria_uso,trafico_red,Fallo
24.488142836714665,27.344054577584348,43.27163059019547,114.48098203953863,0
16.807528054012327,35.18341501603322,65.21179214208118,42.53392831283016,0
40.305805856240575,47.27260764851763,42.609600685487074,59.84848738145455,0
23.283766320619485,54.7964049888064,62.10001659631757,87.09805159093514,0
36.06009951345639,46.411570335904784,66.88853015948902,16.222498931403884,0
48.8618590121053,49.83330880285059,63.809276029686984,80.6017782048954,0
21.439161740911327,61.74476744691795,64.7003145959885,88.23622766445465,0
36.833289928110695,41.31411406804309,68.13474945536555,147.76592592052506,0
20.824971789857365,30.251776197617435,61.93020345528654,117.11351442144176,0
28.171035588951597,37.20143049236839,54.24036132662396,92.00280307526333,0
38.69156064389273,44.919394383463484,58.79528536311656,129.85110374441638,0
22.846962907400318,52.67248935234179,58.54269710014292,83.55306417786736,0
32.790215257703395,43.177836711099935,54.20600878544278,115.44098474834239,0
19.189434595917376,32.07398866536908,56.237415108606456,88.08418621025876,0
25.36838637914601,44.9267440966309,38.02644386360415,93.31455663348656,0
19.226239230152416,48.113974762902416,64.21832953727018,118.3043896776149,0
17.170077758114303,41.49861528032803,71.69000257811972,16.272879104353635,0
26.5909212265392,47.218664048888805,51.84591400645128,61.99832478936734,0
20.72646865809426,49.13521034857228,51.792195721986296,98.34876906430517,0
33.819354522315535,28.30985247849978,61.53351843432955,84.8804101605913,0
24.410781527284115,41.375697869444465,55.02620309004443,105.87969137154222,0
41.97246923645228,43.21866746348261,52.43880763494491,141.87516129293152,0
29.423812029664145,49.385768543358594,48.534581945831334,123.43251934218623,0
27.40408648636395,43.80729964228263,43.3340533846801,105.76123607916905,0
83.50014810006974,69.80676803497963,79.06967863759088,587.1428889904108,1
49.094166404701305,37.87564983646133,65.16207934562998,40.443109757176934,0
31.89328307292374,49.22599268380937,58.92490261663969,144.80517625324177,0
23.228382884878883,48.313851909987264,58.28693304216614,148.39575840076415,0
87.7087554649269,84.11879857272503,81.97388630610287,326.6890232029012,1
23.534271157574732,39.597596298249876,60.140234965257385,136.30129203170787,0
35.211224283793385,41.41187842115044,51.16201283046305,0.0,0
48.31458765854354,46.849877901519456,59.158324219756004,149.29135318043325,0
74.4352296820272,76.83822114543553,76.62339738059339,496.59328242773813,1
